               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.018096,           0.0077093,                   0,             0.95336,             0.92919,             0.96047,             0.68689,            0.016523,           0.0056666,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.017919,           0.0072188,                   0,             0.95333,              0.9285,             0.95369,             0.67849,            0.016309,           0.0057484,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.017615,           0.0076319,                   0,             0.95341,             0.93025,             0.95128,             0.68541,            0.015805,           0.0055122,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.018594,           0.0073912,                   0,             0.92607,             0.88636,             0.94659,             0.68165,            0.016439,           0.0057126,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.017462,            0.006958,                   0,              0.9534,             0.92992,             0.95071,             0.69166,            0.016306,           0.0057543,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.018636,            0.007514,                   0,             0.95387,             0.94011,             0.95939,             0.68655,            0.016544,           0.0057423,                   0,            0.001948,            0.001948,            0.001948
                 124,             0.01744,           0.0074027,                   0,             0.95421,             0.94735,             0.95724,             0.67696,            0.015665,           0.0059421,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.018531,           0.0073234,                   0,             0.93123,             0.92345,             0.94319,             0.66123,            0.016467,           0.0057192,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.017353,           0.0069064,                   0,              0.9542,             0.94704,             0.96058,             0.68937,            0.015045,           0.0055911,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.016879,           0.0071932,                   0,              0.9534,             0.92992,             0.96044,             0.67538,            0.015825,           0.0055965,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.018223,            0.006982,                   0,             0.95339,             0.92987,             0.96419,              0.6962,             0.01536,           0.0057224,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.017301,           0.0072058,                   0,              0.9534,             0.93009,             0.96813,             0.69989,            0.016263,           0.0056854,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.016583,           0.0071018,                   0,             0.95344,             0.93078,             0.97317,             0.69983,            0.016242,           0.0056351,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.016496,           0.0069231,                   0,             0.95364,             0.93507,             0.97393,             0.69163,            0.016279,           0.0056865,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.016143,           0.0069963,                   0,             0.95339,             0.92974,             0.96952,               0.688,            0.016294,           0.0054327,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.015737,           0.0072299,                   0,             0.95337,             0.92941,                0.97,             0.70495,            0.015594,           0.0052914,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.016371,           0.0069781,                   0,             0.95381,             0.93871,              0.9685,             0.70717,            0.015818,           0.0051929,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.016109,           0.0069779,                   0,             0.95448,             0.95305,             0.96931,             0.71237,            0.016241,           0.0050193,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.016465,           0.0069227,                   0,             0.95401,             0.94307,             0.96808,             0.69706,            0.016215,           0.0050941,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.016344,           0.0072343,                   0,             0.95042,             0.90909,             0.96681,             0.69629,            0.016341,            0.005552,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.016619,           0.0072261,                   0,             0.95338,             0.92954,             0.96499,             0.69254,            0.016673,           0.0057385,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.016115,           0.0071978,                   0,             0.95348,             0.93155,             0.96457,              0.6831,            0.016525,           0.0056476,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.016581,            0.007089,                   0,             0.95372,             0.93671,             0.96418,              0.6787,             0.01633,           0.0055211,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.016437,           0.0069056,                   0,             0.95375,             0.93737,             0.96506,             0.69534,            0.016228,            0.005593,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.016354,           0.0071092,                   0,             0.95344,             0.93078,             0.96513,             0.68804,            0.016555,           0.0058169,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.015815,            0.006639,                   0,             0.95344,             0.93074,             0.96376,             0.69301,            0.016324,           0.0058292,                   0,            0.000628,            0.000628,            0.000628
                 144,             0.01609,           0.0071968,                   0,             0.95342,             0.93033,             0.96285,             0.68563,            0.016153,            0.005856,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.015596,           0.0071245,                   0,             0.95342,             0.93032,             0.96316,             0.68715,            0.016073,           0.0058956,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.016715,           0.0070018,                   0,             0.95343,             0.93056,             0.96259,             0.68718,            0.016311,           0.0059522,                   0,             0.00043,             0.00043,             0.00043
                 147,             0.01531,           0.0065146,                   0,             0.95341,             0.93019,             0.96233,             0.68427,            0.016247,           0.0059757,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.015616,           0.0071004,                   0,             0.95341,             0.93012,             0.96073,             0.67709,            0.016275,           0.0060374,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.015497,           0.0072431,                   0,             0.95339,             0.92983,             0.96088,              0.6926,            0.016132,           0.0061298,                   0,            0.000232,            0.000232,            0.000232
