               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.016106,           0.0089222,                   0,             0.95441,             0.95172,             0.96394,             0.63247,             0.01916,           0.0095258,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.016149,           0.0087195,                   0,             0.96129,             0.95455,             0.97396,             0.64534,            0.019055,            0.009205,                   0,             0.00175,             0.00175,             0.00175
                 127,             0.01635,            0.008806,                   0,              0.9544,             0.95138,             0.96994,             0.63882,            0.018943,           0.0093662,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.015663,           0.0087628,                   0,             0.95221,             0.95455,             0.97158,             0.64827,            0.018328,           0.0089042,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.015811,           0.0085795,                   0,             0.97667,             0.95138,             0.97359,             0.65493,            0.017781,           0.0089575,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.015785,           0.0087534,                   0,             0.97611,             0.95455,              0.9693,             0.65587,            0.017631,           0.0090821,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.015526,           0.0086953,                   0,             0.97349,             0.95455,             0.96497,             0.65962,            0.017787,           0.0088938,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.015714,           0.0087403,                   0,             0.97653,             0.95455,             0.97191,             0.66677,            0.018027,           0.0087945,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.015658,           0.0085354,                   0,             0.97159,             0.95455,             0.97457,             0.66573,            0.017652,            0.008445,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.015549,           0.0087698,                   0,             0.97565,             0.95455,             0.97688,             0.66243,            0.017123,            0.008527,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.015366,           0.0084321,                   0,              0.9725,             0.95455,              0.9769,             0.68457,            0.016928,           0.0084431,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.015091,            0.008566,                   0,             0.97393,             0.95455,             0.97467,             0.67696,            0.017539,           0.0086167,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.015054,           0.0084087,                   0,             0.97414,             0.95455,             0.97586,             0.68099,            0.018166,           0.0087005,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.014994,           0.0085461,                   0,             0.97362,             0.95455,             0.97404,             0.67537,            0.018134,           0.0089286,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.015156,           0.0083255,                   0,             0.97405,             0.95455,             0.97546,             0.67729,            0.018454,            0.008852,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.015149,           0.0084317,                   0,             0.97604,             0.95455,              0.9751,              0.6685,             0.01867,           0.0089315,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.014816,           0.0086265,                   0,             0.97374,             0.95455,             0.97588,             0.68607,            0.018596,           0.0089298,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.015108,           0.0084163,                   0,             0.97341,             0.95455,              0.9765,             0.67788,            0.018515,           0.0091525,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.014963,           0.0085105,                   0,             0.97429,             0.95455,             0.97864,             0.67385,            0.018447,           0.0090559,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.015014,            0.008262,                   0,             0.95026,             0.95455,             0.97727,              0.6738,            0.018263,           0.0089341,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.014952,           0.0083454,                   0,             0.97664,              0.9504,             0.97733,             0.67366,            0.018013,           0.0089009,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.015133,           0.0082929,                   0,             0.97671,             0.95312,             0.97676,              0.6757,            0.018093,           0.0090359,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.014802,           0.0083298,                   0,             0.97672,             0.95338,             0.97598,             0.67277,            0.018175,           0.0092056,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.014775,           0.0082598,                   0,             0.97671,             0.95323,             0.97725,             0.68147,            0.018087,           0.0091833,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.014617,             0.00813,                   0,              0.9767,             0.95273,             0.97663,             0.68098,            0.018015,           0.0092009,                   0,            0.000232,            0.000232,            0.000232
